source,transition,semantic_drift,top_frame_movement,mean_frame_movement,top_rising_frame,top_falling_frame,top_rising_delta,top_falling_delta,compound_delta,intensity_delta,polarization_delta,top_entity_turnover,mean_entity_turnover,mean_entity_js,num_entity_changes,top_entity,top_entity_added_verbs,top_entity_removed_verbs,archetype_id
cnn.com,2020-01_02->2020-03_04,0.06709635257720947,0.0340510502659897,0.020439992221977517,send / offer / request / want / invite,confirm / check / verify,0.016624277514033763,-0.0340510502659897,0.3531615319701396,0.010555793573515104,-0.008689776046738061,0.9302325581395349,0.8693176848990802,0.7935991810381525,5,washington,"['aim', 'align', 'base', 'brew', 'bring', 'close', 'declare', 'die', 'erode', 'hit']","['accord', 'arrive', 'cross', 'hamper', 'hold', 'infect', 'investigate', 'issue', 'land', 'mount']",1
cnn.com,2020-03_04->2020-05_06,0.015756845474243164,0.035895310833820894,0.01571718296190474,close / reopen / shut / open / shutdown,announce / inform / provide / disclose / specify,0.018818548034563537,-0.035895310833820894,0.26399877340287936,-0.007541568602506238,0.01178239297754595,0.9090909090909091,0.8780501457920813,0.8454369195506357,5,disney,"['accord', 'admit', 'believe', 'change', 'define', 'demonstrate', 'draw', 'drop', 'echo', 'follow']",['force'],0
cnn.com,2020-05_06->2020-07_08,0.016680121421813965,0.02149340763224304,0.012166733281809354,find / discover / locate / search / found,write / print / document / stamp / letter,0.010558052872196268,-0.02149340763224304,-0.08934069286582538,0.005829377561122312,-0.0035821814809709335,0.9245283018867925,0.8976985509196096,0.8584984935442564,5,germany,"['accord', 'announce', 'base', 'close', 'consider', 'expect', 'extend', 'indicate', 'join', 'live']","['approve', 'drop', 'employ', 'enter', 'force', 'impose', 'instal', 'lag', 'lead', 'link']",0
cnn.com,2020-07_08->2020-09_10,0.017113685607910156,0.013680131815740602,0.011223108526952621,test / sample / mock / simulate / experiment,close / reopen / shut / open / shutdown,0.01158833074948686,-0.013680131815740602,0.06615151003305689,-0.007944049759322613,0.004667024299715841,0.9074074074074074,0.8755298452523756,0.8505066390099568,5,white house,"['approve', 'arrive', 'contend', 'contradict', 'deem', 'describe', 'disclose', 'instal', 'institute', 'join']","['alert', 'comprise', 'defend', 'deflect', 'deliver', 'design', 'disagree', 'float', 'judge', 'learn']",0
cnn.com,2020-09_10->2020-11_12,0.03287595510482788,0.053744372278818495,0.0266503320396413,send / offer / request / want / invite,speak / discuss / talk / mingle / chat,0.053744372278818495,-0.01566758947510583,0.10290624948274435,0.0012120541256310513,0.010536994123975824,0.8888888888888888,0.8752525252525253,0.8501713655981998,5,pfizer,"['adjust', 'approve', 'arrive', 'authorize', 'base', 'clear', 'contain', 'deliver', 'discuss', 'distribute']","['develop', 'finish', 'keep', 'lead', 'race', 'vaccinate']",1
cnn.com,2020-11_12->2021-01_02,0.01927858591079712,0.040074235860957326,0.02958216875192594,lean / limp / prone,announce / inform / provide / disclose / specify,0.040074235860957326,-0.028629851114448025,-0.09862068275481611,-0.006952546809592314,-0.015863600471611394,0.9318181818181819,0.8898450289206592,0.8415655365905768,5,moderna,"['administer', 'approve', 'buy', 'contact', 'deliver', 'develop', 'distribute', 'find', 'join', 'last']","['acquire', 'announce', 'await', 'consider', 'cover', 'discuss', 'expect', 'focus', 'happen', 'pay']",1
cnn.com,2021-01_02->2021-03_04,0.018093645572662354,0.04009328845340093,0.030933599333444695,announce / inform / provide / disclose / specify,lean / limp / prone,0.03593046060514108,-0.04009328845340093,0.005460159049743785,0.0012685810679498588,0.00317627624592854,0.9318181818181819,0.8779933516775621,0.8453997962207065,5,moderna,"['announce', 'associate', 'choose', 'consider', 'load', 'manufacture', 'offer', 'point', 'prepare', 'provide']","['approve', 'buy', 'contact', 'develop', 'find', 'follow', 'grant', 'join', 'last', 'prevent']",1
cnn.com,2021-03_04->2021-05_06,0.02373039722442627,0.03425524280762421,0.017089174131263103,cruise / sail / ferry / beach / torpedo,announce / inform / provide / disclose / specify,0.013596484643734849,-0.03425524280762421,-0.008766214833759611,0.008235933503836307,-0.0002870843989769903,0.8888888888888888,0.8389117709872427,0.7967658771112894,5,india,"['battle', 'deal', 'detect', 'export', 'face', 'feel', 'find', 'gather', 'happen', 'help']","['account', 'allow', 'anger', 'arrive', 'assist', 'bolster', 'certify', 'compile', 'culminate', 'deploy']",0
cnn.com,2021-05_06->2021-07_08,0.03895944356918335,0.021087182008826894,0.01563166629169491,announce / inform / provide / disclose / specify,send / offer / request / want / invite,0.021087182008826894,-0.020169736782644734,-0.0912185642767745,-0.003379894510995879,-0.006114115859109592,0.9069767441860466,0.8591731266149871,0.8005163243968829,5,canada,"['accept', 'allow', 'approve', 'back', 'cite', 'consider', 'cross', 'evolve', 'fin', 'forge']","['accord', 'agree', 'announce', 'bar', 'comprise', 'find', 'hop', 'let', 'note', 'restrict']",0
cnn.com,2021-07_08->2021-09_10,0.021597325801849365,0.020891716877041208,0.013441633103534406,get / gain / access / utilize / obtain,write / print / document / stamp / letter,0.020891716877041208,-0.010197084899358675,0.17140797209359254,0.006276361151343335,0.006864313253503604,0.94,0.8489924530822146,0.8331696763779795,5,canada,"['accord', 'address', 'announce', 'close', 'denounce', 'ease', 'face', 'find', 'limit', 'offer']","['accept', 'approve', 'back', 'cite', 'consider', 'drop', 'evolve', 'fin', 'forge', 'head']",0
cnn.com,2021-09_10->2021-11_12,0.042298853397369385,0.014673021114880683,0.011650160806376406,identify / detect / recognize / observe / determine,get / gain / access / utilize / obtain,0.013916830732095972,-0.014673021114880683,-0.02430896871159849,-0.005898827866528067,0.0022216750165422045,0.9166666666666666,0.8909268970023687,0.853782700627821,5,new york,"['attend', 'base', 'break', 'celebrate', 'contain', 'deploy', 'distribute', 'emphasize', 'end', 'extend']","['announce', 'bring', 'commend', 'comply', 'decline', 'file', 'follow', 'hold', 'issue', 'offer']",0
cnn.com,2021-11_12->2022-01_02,0.047305941581726074,0.044686988046094014,0.023806203570386698,block / roadblocke / blockade / unblock,announce / inform / provide / disclose / specify,0.017996495645194246,-0.044686988046094014,-0.17180480885311866,0.005194097920858509,-0.010399463447350779,0.9090909090909091,0.8777246145667199,0.7904675144268924,5,white house,"['bring', 'challenge', 'check', 'contain', 'criticize', 'describe', 'dismiss', 'emerge', 'hear', 'lay']","['accuse', 'announce', 'clarify', 'concede', 'depart', 'drive', 'enter', 'face', 'fail', 'implore']",0
cnn.com,2022-01_02->2022-03_04,0.04619717597961426,0.019278713490766562,0.014928746422209167,get / gain / access / utilize / obtain,block / roadblocke / blockade / unblock,0.018666824298341985,-0.019278713490766562,0.09105920634920633,-0.0015142857142857458,0.007139682539682543,0.9285714285714286,0.8631185807656395,0.8012507802147866,5,pfizer,"['administer', 'consider', 'discuss', 'help', 'meet', 'order', 'recommend', 'review', 'share']","['approve', 'authorize', 'boost', 'complete', 'develop', 'double', 'fall', 'inspire', 'produce', 'remain']",0
cnn.com,2022-03_04->2022-05_06,0.04838907718658447,0.01913769495412438,0.013812958980179632,speak / discuss / talk / mingle / chat,announce / inform / provide / disclose / specify,0.016471635763235584,-0.01913769495412438,-0.17379600786627336,0.008760471976401202,-0.010039134709931147,0.9090909090909091,0.8891925954616156,0.8559267076593446,5,pfizer,"['accord', 'approve', 'authorize', 'boost', 'fall', 'find', 'follow', 'generate', 'hear', 'manufacture']","['administer', 'consider', 'discuss', 'help', 'meet', 'order', 'raise', 'review', 'share', 'suggest']",0
cnn.com,2022-05_06->2022-07_08,0.06643468141555786,0.022539951528539513,0.014733676539943955,announce / inform / provide / disclose / specify,vaccinate / immunize / unvaccinate / immunocompromise,0.022539951528539513,-0.014525188099540646,0.2109794800884956,-0.00034693030973453887,0.00621031526548671,0.94,0.9160738949319753,0.8942457331424899,5,covid-19,"['accept', 'apply', 'average', 'avoid', 'break', 'catch', 'cause', 'conduct', 'contract', 'die']","['align', 'alter', 'associate', 'battle', 'clear', 'confirm', 'decrease', 'determine', 'experience', 'feel']",0
washingtonpost.com,2020-01_02->2020-03_04,0.03930497169494629,0.07991220200492875,0.031019515024858713,house / rent / occupy,write / author / writer / blog,0.011222275014332248,-0.07991220200492875,0.2765198798328109,0.008918234064785813,-0.014036311389759693,0.8888888888888888,0.872284273924963,0.8366493669957962,5,china,"['accuse', 'act', 'attack', 'battle', 'bear', 'blame', 'conclude', 'emerge', 'focus', 'get']","['arrive', 'break', 'build', 'detect', 'die', 'dismiss', 'evacuate', 'expose', 'infect', 'kill']",1
washingtonpost.com,2020-03_04->2020-05_06,0.020502567291259766,0.04109975749830823,0.021916789685944443,write / author / writer / blog,hold / withhold / retain / seal / bind,0.04109975749830823,-0.024454483514196015,0.3274951825557809,-0.01616440162271804,-0.003911460446247406,0.9285714285714286,0.8809510132370113,0.8528386173449201,5,world health organization,"['accord', 'care', 'caution', 'choose', 'cite', 'connect', 'convince', 'deny', 'dismiss', 'downplay']","['accuse', 'attack', 'bear', 'coordinate', 'count', 'criticize', 'cut', 'depend', 'direct', 'discuss']",0
washingtonpost.com,2020-05_06->2020-07_08,0.02600717544555664,0.022770709594919315,0.016483492029146098,replace / change / overhaul / remake / compensate,write / author / writer / blog,0.022770709594919315,-0.02202253359794512,0.1769491714995858,-0.01488550124275062,0.006713670256835114,0.9090909090909091,0.8972212692967411,0.8232789950490964,5,taiwan,"['close', 'compare', 'constitute', 'convince', 'cut', 'document', 'emerge', 'fuel', 'help', 'offer']","['accept', 'accuse', 'agree', 'argue', 'attend', 'back', 'contain', 'express', 'happen', 'hit']",0
washingtonpost.com,2020-07_08->2020-09_10,0.022402405738830566,0.024142382548334396,0.016322074025690275,write / author / writer / blog,replace / change / overhaul / remake / compensate,0.024142382548334396,-0.021635075970259696,-0.26451247852971493,0.019448557196839578,-0.01430599450360702,0.9090909090909091,0.8781200237670825,0.8617754533577061,5,biden,"['address', 'agree', 'attend', 'blame', 'cite', 'emphasize', 'end', 'endorse', 'express', 'follow']","['acknowledge', 'approve', 'back', 'build', 'choose', 'clash', 'compare', 'fare', 'favor', 'focus']",0
washingtonpost.com,2020-09_10->2020-11_12,0.018858909606933594,0.022731823505954492,0.01772260660214396,speak / transmit / talk / discuss / communicate,donate / contribute / grant / devote / intervene,0.022731823505954492,-0.012913077597112944,0.12031797454931073,-0.0006344114528101796,0.009702810180275731,0.9166666666666666,0.8683258855381618,0.8484826325180423,5,pfizer,"['affect', 'approach', 'authorize', 'bring', 'consider', 'create', 'deliver', 'demonstrate', 'distribute', 'get']","['cite', 'discuss', 'launch', 'predict', 'serve']",0
theguardian.com,2020-01_02->2020-03_04,0.04651397466659546,0.04781670294329276,0.0268719864785557,announce / inform / disclose / dictate / divulge,cough / shudder / gasp / rip / shrug,0.02982824281762954,-0.04781670294329276,0.2460095115561584,0.011986894598260606,-0.01025253996116917,0.9090909090909091,0.8880546026300744,0.8440302512481622,5,japan,"['arrive', 'avoid', 'bring', 'concede', 'contribute', 'criticize', 'donate', 'expand', 'expect', 'extend']","['accord', 'airlift', 'apologise', 'close', 'confirm', 'contract', 'dispatch', 'dock', 'evacuate', 'fall']",1
theguardian.com,2020-03_04->2020-05_06,0.01572859287261963,0.023488934208564394,0.013611372642250036,speak / discuss / talk / mingle / socialise,cough / shudder / gasp / rip / shrug,0.007937615416485157,-0.023488934208564394,0.07832807697660663,0.0015931066677491446,-0.006328565546676573,0.9090909090909091,0.8884117454872171,0.8168594059298018,5,white house,"['assert', 'bill', 'block', 'defend', 'deliver', 'deny', 'encourage', 'envelop', 'express', 'favor']","['accord', 'advance', 'caution', 'consider', 'coordinate', 'form', 'interrupt', 'lead', 'live', 'message']",0
