source_a,source_b,pair,shared_periods,mean_divergence,max_divergence,min_divergence,divergence_volatility,peak_period,values
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,16,0.14637290686368942,0.22702127695083618,0.08432948589324951,0.04283439927772931,2022-05_06,"[0.08432948589324951, 0.09389138221740723, 0.10401511192321777, 0.1444716453552246, 0.14831876754760742, 0.10206788778305054, 0.11639630794525146, 0.1465703248977661, 0.13746589422225952, 0.1577320098876953, 0.16775423288345337, 0.15263420343399048, 0.12291115522384644, 0.21554678678512573, 0.22702127695083618, 0.22084003686904907]"
bbc.co.uk,washingtonpost.com,bbc.co.uk ↔ washingtonpost.com,6,0.13167759776115417,0.15624654293060303,0.09014850854873657,0.021734680089127722,2020-09_10,"[0.09014850854873657, 0.1318603754043579, 0.13598746061325073, 0.1522248387336731, 0.15624654293060303, 0.12359786033630371]"
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,18,0.08417860998047723,0.15776169300079346,0.04051738977432251,0.03468141703028996,2022-03_04,"[0.042920589447021484, 0.04153174161911011, 0.047879576683044434, 0.059117138385772705, 0.07158595323562622, 0.04051738977432251, 0.07010912895202637, 0.07432436943054199, 0.08187103271484375, 0.0896492600440979, 0.0933372974395752, 0.08549970388412476, 0.07636851072311401, 0.15776169300079346, 0.13480257987976074, 0.11013656854629517, 0.15481454133987427, 0.08298790454864502]"
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,16,0.07132317125797272,0.1454486846923828,0.03484898805618286,0.029269652688539413,2022-05_06,"[0.03484898805618286, 0.04000741243362427, 0.05000460147857666, 0.0705798864364624, 0.06571429967880249, 0.06607776880264282, 0.050899386405944824, 0.05605208873748779, 0.05583995580673218, 0.06823855638504028, 0.07633304595947266, 0.06090867519378662, 0.06630527973175049, 0.10788089036941528, 0.1454486846923828, 0.12603121995925903]"
theguardian.com,washingtonpost.com,theguardian.com ↔ washingtonpost.com,6,0.0630594789981842,0.08032351732254028,0.03455156087875366,0.015224658699575204,2020-07_08,"[0.03455156087875366, 0.05479782819747925, 0.06899088621139526, 0.08032351732254028, 0.06334930658340454, 0.07634377479553223]"
cnn.com,washingtonpost.com,cnn.com ↔ washingtonpost.com,6,0.03495829304059347,0.0471423864364624,0.023404419422149658,0.008507030451151821,2020-05_06,"[0.023404419422149658, 0.0326462984085083, 0.0471423864364624, 0.03584390878677368, 0.0268174409866333, 0.04389530420303345]"
