source,mean_semantic_drift,max_semantic_drift,semantic_drift_volatility,semantic_threshold,num_latent_frames,mean_frame_volatility,max_frame_volatility,mean_frame_persistence,mean_frame_peak_share,top_frame_labels,top_frame_descriptions,mean_sentiment,sentiment_volatility,mean_positive,mean_negative,sentiment_shift,mean_narrative_intensity,intensity_volatility,intensity_shift,mean_polarization,polarization_volatility,polarization_shift,emotional_escalation,num_ecosystem_entities,mean_entity_turnover,max_entity_turnover,mean_entity_js,max_entity_js,mean_entity_persistence,volatile_core_actor_count,stable_core_actor_count,episodic_disruptor_count,high_impact_shifting_actor_count,peripheral_actor_count,volatile_core_actor_ratio,stable_core_actor_ratio,episodic_disruptor_ratio,high_impact_shifting_actor_ratio,peripheral_actor_ratio,mean_migration_ratio,max_migration_ratio,mean_unique_frames_visited,max_unique_frames_visited,reliable_migration_entity_count
bbc.co.uk,0.040413763374090195,0.11565089225769043,0.03095158003270626,0.045746073,210,0.0046432702264723675,0.08289215757893727,0.6343915343915344,0.01846868868463469,"['issue / post / try / fail / help', 'record / shutter / pose / photograph / capture', 'evacuate / flee / escape / evade', 'confirm / verify / suppose / assume / check', 'feel / relax / anger / stress / hurt']","['', '', '', '', '']",0.013837388139735894,0.13759520218031354,0.06925825178633958,0.06862339976937214,0.18838821428571426,0.13788165155571172,0.007226123550755493,0.007007142857142851,0.010324479638390189,0.006507202941113491,-0.01930000000000001,0.00041218487394957944,87,0.9259900990885063,1.0,0.9298465594851634,1.0,0.2440838404327248,11,0,74,0,2,0.12643678160919541,0.0,0.8505747126436781,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0
cnn.com,0.03478720411658287,0.06709635257720947,0.01715155690908432,0.05426985,413,0.001010422809323626,0.018789814456213725,0.749546004842615,0.004471819184422594,"['announce / inform / provide / disclose / specify', 'send / offer / request / want / invite', 'vaccinate / immunize / unvaccinate / immunocompromise', 'lean / limp / prone', 'confirm / check / verify']","['', '', '', '', '']",0.21958027250044743,0.1640173364668697,0.07448293257790237,0.060823899705699645,0.6072689423076923,0.13530683228360202,0.005367506803539763,0.013754567307692284,0.015583071333741174,0.005525711402593746,-0.0023766826923076814,0.0009169711538461522,468,0.929894693724916,1.0,0.9246175222701998,1.0,0.2915954415954416,63,2,368,27,8,0.1346153846153846,0.004273504273504274,0.7863247863247863,0.057692307692307696,0.017094017094017096,0.0,0.0,0.0,0.0,0
washingtonpost.com,0.0254152063280344,0.03930497169494629,0.007341281045228243,0.027655993,271,0.0014370730441298587,0.02455918071869839,0.8585485854858549,0.005660197427483655,"['write / author / writer / blog', 'confirm / result / hint / check / conclude', 'replace / change / overhaul / remake / compensate', 'hold / withhold / retain / seal / bind', 'speak / transmit / talk / discuss / communicate']","['', '', '', '', '']",-0.03924201098281848,0.25915201837207824,0.08157626608489267,0.0824833913924166,0.6367697299077734,0.16405965747730927,0.009339583896679111,-0.0033175230566534486,0.01182498129253891,0.007699856443621122,-0.015837285902503273,-0.0006635046113306897,171,0.9535653523198525,1.0,0.955158232839615,1.0,0.49941520467836253,52,0,102,17,0,0.30409356725146197,0.0,0.5964912280701754,0.09941520467836257,0.0,0.0,0.0,0.0,0.0,0
theguardian.com,0.02492223121225834,0.08188837766647339,0.01880311779677868,0.026449004,617,0.00047126757998380196,0.02037256314472833,0.8082117774176122,0.002628561419946931,"['buy / enter / deal / invite / offer', 'cough / shudder / gasp / rip / shrug', 'view / monitor / screen / display / preview', 'test / confirm / claim / try / attempt', 'update / change / replace / customise / amend']","['', '', '', '', '']",0.10588794023541337,0.18809431408971486,0.08129823771228376,0.07434898819389348,0.5913183419810629,0.15564722590617722,0.006954744940582564,0.015963679535660885,0.010985136300280177,0.004661571755655325,-0.013570457010523847,0.0009390399726859344,1175,0.9382803122035848,1.0,0.9317138841605304,1.0,0.2824530663329161,164,4,921,75,11,0.13957446808510637,0.003404255319148936,0.7838297872340425,0.06382978723404255,0.009361702127659575,0.0,0.0,0.0,0.0,0
